               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.038015,            0.011514,            0.059716,             0.77631,             0.82441,             0.86145,             0.68772,            0.017595,           0.0037977,            0.027219,           0.0075009,           0.0075009,           0.0075009
                 108,            0.037498,            0.011564,            0.060237,             0.77484,              0.8271,              0.8624,             0.68841,            0.017576,           0.0037974,             0.02712,           0.0074585,           0.0074585,           0.0074585
                 109,             0.03763,            0.011619,             0.06011,              0.7647,             0.83615,             0.86369,             0.68951,            0.017591,           0.0037971,            0.027029,            0.007416,            0.007416,            0.007416
                 110,            0.037372,            0.011519,            0.059395,             0.76343,             0.83974,             0.86358,             0.68925,            0.017592,            0.003797,            0.026906,           0.0073733,           0.0073733,           0.0073733
                 111,            0.037307,            0.011521,            0.059442,             0.76938,             0.83679,             0.86466,             0.68995,            0.017585,           0.0037971,            0.026771,           0.0073303,           0.0073303,           0.0073303
                 112,            0.036902,            0.011541,            0.058996,             0.76286,             0.84292,             0.86447,                0.69,            0.017553,           0.0037975,            0.026677,           0.0072872,           0.0072872,           0.0072872
                 113,            0.037626,            0.011467,            0.058246,             0.77119,             0.83914,             0.86628,              0.6912,            0.017548,           0.0037967,            0.026542,           0.0072438,           0.0072438,           0.0072438
                 114,            0.037577,            0.011516,            0.058442,             0.76806,             0.84399,             0.86682,              0.6916,             0.01751,           0.0037957,            0.026371,           0.0072003,           0.0072003,           0.0072003
                 115,            0.037568,            0.011517,            0.058346,             0.78043,             0.83673,             0.86852,             0.69326,             0.01751,           0.0037959,             0.02624,           0.0071566,           0.0071566,           0.0071566
                 116,            0.037148,            0.011528,            0.058781,             0.79013,             0.82978,             0.86912,             0.69373,            0.017484,           0.0037955,            0.026162,           0.0071127,           0.0071127,           0.0071127
                 117,            0.037186,            0.011541,            0.058792,             0.78903,             0.83173,             0.86917,             0.69365,            0.017441,           0.0037966,             0.02609,           0.0070686,           0.0070686,           0.0070686
                 118,            0.037222,            0.011459,            0.058869,             0.78614,             0.83472,             0.86942,             0.69443,            0.017446,           0.0037971,            0.026048,           0.0070243,           0.0070243,           0.0070243
                 119,            0.037183,            0.011438,            0.058448,             0.77653,             0.84364,             0.87072,             0.69577,            0.017425,           0.0037976,            0.025976,           0.0069799,           0.0069799,           0.0069799
                 120,             0.03717,            0.011477,            0.057904,             0.78441,              0.8363,             0.87085,             0.69565,            0.017409,           0.0037978,             0.02591,           0.0069353,           0.0069353,           0.0069353
                 121,            0.037097,            0.011454,            0.058449,             0.78199,             0.83832,             0.87223,             0.69697,             0.01742,           0.0037967,            0.025838,           0.0068906,           0.0068906,           0.0068906
                 122,            0.037035,            0.011389,            0.057084,             0.78038,             0.84027,             0.87316,             0.69684,            0.017404,           0.0037947,            0.025716,           0.0068457,           0.0068457,           0.0068457
                 123,             0.03691,            0.011491,            0.056721,             0.78219,             0.83916,             0.87434,               0.698,            0.017396,            0.003794,            0.025593,           0.0068006,           0.0068006,           0.0068006
                 124,             0.03701,            0.011405,            0.057194,             0.78854,             0.83531,             0.87507,             0.69853,            0.017403,           0.0037942,             0.02546,           0.0067555,           0.0067555,           0.0067555
                 125,            0.036517,            0.011414,            0.057059,             0.79112,             0.83322,             0.87482,             0.69863,            0.017398,           0.0037942,            0.025337,           0.0067101,           0.0067101,           0.0067101
                 126,            0.037034,            0.011418,            0.056869,             0.78535,             0.84193,             0.87582,             0.69971,            0.017371,           0.0037933,             0.02522,           0.0066647,           0.0066647,           0.0066647
                 127,            0.037015,            0.011446,            0.056455,             0.78771,             0.84106,             0.87612,             0.69985,            0.017351,           0.0037924,            0.025079,           0.0066191,           0.0066191,           0.0066191
                 128,            0.037257,            0.011464,            0.056906,              0.7834,             0.84454,             0.87565,             0.69966,            0.017369,           0.0037924,            0.024961,           0.0065734,           0.0065734,           0.0065734
                 129,            0.036848,            0.011478,            0.057535,             0.78396,             0.84428,              0.8757,             0.69965,            0.017366,           0.0037919,            0.024896,           0.0065276,           0.0065276,           0.0065276
                 130,            0.036769,            0.011343,            0.055856,             0.78475,             0.84463,             0.87641,             0.70012,            0.017384,           0.0037914,            0.024817,           0.0064816,           0.0064816,           0.0064816
                 131,            0.036437,            0.011317,            0.053685,              0.7865,             0.84273,             0.87667,             0.70043,            0.017377,           0.0037898,            0.024692,           0.0064356,           0.0064356,           0.0064356
                 132,            0.037166,            0.011349,              0.0552,             0.78628,             0.84385,             0.87723,             0.70036,            0.017387,           0.0037893,            0.024558,           0.0063895,           0.0063895,           0.0063895
                 133,            0.036885,            0.011452,              0.0561,             0.77825,             0.85298,             0.87695,              0.7006,            0.017381,           0.0037894,            0.024505,           0.0063432,           0.0063432,           0.0063432
                 134,            0.036435,            0.011354,            0.054249,             0.77741,             0.85617,             0.87771,             0.70081,            0.017358,           0.0037881,            0.024409,           0.0062969,           0.0062969,           0.0062969
                 135,            0.036356,            0.011364,            0.054381,             0.80274,             0.83056,             0.87912,             0.70202,            0.017346,           0.0037863,            0.024323,           0.0062505,           0.0062505,           0.0062505
                 136,            0.036652,            0.011375,            0.055363,             0.80436,             0.83134,             0.87962,             0.70271,            0.017325,           0.0037847,            0.024198,            0.006204,            0.006204,            0.006204
                 137,            0.036961,            0.011415,            0.056054,             0.79577,             0.84368,             0.88089,             0.70353,            0.017326,           0.0037841,            0.024091,           0.0061574,           0.0061574,           0.0061574
                 138,            0.036307,            0.011322,            0.055323,             0.79763,             0.84146,             0.88109,             0.70378,            0.017341,           0.0037832,            0.024005,           0.0061107,           0.0061107,           0.0061107
                 139,            0.036412,            0.011469,             0.05594,             0.79918,              0.8398,             0.88168,             0.70388,            0.017351,           0.0037833,            0.023904,            0.006064,            0.006064,            0.006064
                 140,            0.036295,            0.011353,            0.054793,             0.79657,             0.84179,             0.88315,             0.70525,            0.017339,           0.0037832,            0.023806,           0.0060172,           0.0060172,           0.0060172
                 141,            0.036635,            0.011278,             0.05417,             0.79672,             0.84226,             0.88391,             0.70601,            0.017324,            0.003782,            0.023675,           0.0059704,           0.0059704,           0.0059704
                 142,             0.03678,            0.011389,            0.054576,             0.79449,             0.84616,             0.88453,             0.70677,            0.017315,           0.0037814,            0.023536,           0.0059235,           0.0059235,           0.0059235
                 143,            0.036543,            0.011314,            0.053711,             0.79981,             0.84372,             0.88533,             0.70764,            0.017278,           0.0037813,            0.023368,           0.0058766,           0.0058766,           0.0058766
                 144,             0.03617,            0.011332,            0.054481,             0.79939,             0.84502,             0.88696,             0.70871,            0.017249,           0.0037807,            0.023219,           0.0058296,           0.0058296,           0.0058296
                 145,            0.036239,            0.011289,            0.054455,             0.80032,             0.84594,             0.88625,             0.70782,            0.017263,           0.0037794,            0.023098,           0.0057826,           0.0057826,           0.0057826
                 146,            0.036282,            0.011242,            0.053102,              0.8037,             0.84361,             0.88707,             0.70836,            0.017254,           0.0037772,            0.022931,           0.0057355,           0.0057355,           0.0057355
                 147,            0.036235,            0.011283,            0.053773,             0.80522,             0.84409,             0.88763,             0.70893,            0.017255,           0.0037755,            0.022833,           0.0056884,           0.0056884,           0.0056884
                 148,            0.036147,            0.011223,            0.053414,             0.80626,             0.84514,             0.88808,             0.70914,            0.017276,           0.0037741,            0.022729,           0.0056413,           0.0056413,           0.0056413
                 149,            0.035547,            0.011252,            0.051568,             0.80759,             0.84535,             0.88898,             0.70998,            0.017264,            0.003773,            0.022595,           0.0055942,           0.0055942,           0.0055942
                 150,            0.036309,            0.011278,            0.052628,             0.81847,              0.8357,             0.89022,             0.71128,            0.017268,           0.0037716,            0.022488,           0.0055471,           0.0055471,           0.0055471
                 151,            0.036158,            0.011234,            0.052764,              0.8068,             0.84654,             0.89051,             0.71125,            0.017294,           0.0037684,            0.022422,              0.0055,              0.0055,              0.0055
                 152,             0.03598,            0.011272,            0.052854,             0.82075,             0.83311,             0.88969,             0.71107,            0.017271,           0.0037668,             0.02235,           0.0054529,           0.0054529,           0.0054529
                 153,            0.036312,            0.011266,            0.053154,             0.81923,             0.83566,             0.89187,             0.71276,            0.017288,           0.0037649,            0.022285,           0.0054058,           0.0054058,           0.0054058
                 154,            0.036119,            0.011165,            0.052163,             0.81695,             0.83975,             0.89329,             0.71327,            0.017285,           0.0037638,            0.022223,           0.0053587,           0.0053587,           0.0053587
                 155,            0.036137,            0.011216,            0.051737,              0.8244,             0.83258,             0.89378,              0.7137,            0.017267,            0.003763,            0.022102,           0.0053116,           0.0053116,           0.0053116
